date,temperature_forecast
2024-11-01,-0.2083488400521449
2024-11-02,-0.20561367070535494
2024-11-03,-0.18107351879054595
2024-11-04,-0.18588598753377397
2024-11-05,-0.17435666357703994
2024-11-06,-0.18564995530999664
2024-11-07,-0.1693207331043817
2024-11-08,-0.18254320882015668
2024-11-09,-0.19230183917785426
2024-11-10,-0.20368685854888102
2024-11-11,-0.20829267659402007
2024-11-12,-0.20365678327444509
2024-11-13,-0.20831265120607328
2024-11-14,-0.20557748185928335
2024-11-15,-0.18103732994447436
2024-11-16,-0.18584979868770235
2024-11-17,-0.17432047473096834
2024-11-18,-0.18561376646392505
2024-11-19,-0.16928454425831008
2024-11-20,-0.18250701997408508
2024-11-21,-0.19226565033178267
2024-11-22,-0.20365066970280943
2024-11-23,-0.20825648774794847
2024-11-24,-0.2036205944283735
2024-11-25,-0.2082764623600017
2024-11-26,-0.20554129301321175
2024-11-27,-0.18100114109840276
2024-11-28,-0.18581360984163076
2024-11-29,-0.17428428588489675
2024-11-30,-0.18557757761785343
2024-12-01,-0.16924835541223848
2024-12-02,-0.1824708311280135
2024-12-03,-0.19222946148571105
2024-12-04,-0.20361448085673783
2024-12-05,-0.20822029890187688
2024-12-06,-0.20358440558230187
2024-12-07,-0.2082402735139301
2024-12-08,-0.20550510416714016
2024-12-09,-0.18096495225233114
2024-12-10,-0.18577742099555916
2024-12-11,-0.17424809703882516
2024-12-12,-0.18554138877178183
2024-12-13,-0.1692121665661669
2024-12-14,-0.1824346422819419
2024-12-15,-0.19219327263963945
2024-12-16,-0.20357829201066624
2024-12-17,-0.20818411005580525
2024-12-18,-0.20354821673623028
2024-12-19,-0.2082040846678585
2024-12-20,-0.20546891532106853
2024-12-21,-0.18092876340625955
2024-12-22,-0.18574123214948757
2024-12-23,-0.17421190819275353
2024-12-24,-0.18550519992571024
2024-12-25,-0.1691759777200953
2024-12-26,-0.18239845343587027
2024-12-27,-0.19215708379356786
2024-12-28,-0.20354210316459465
2024-12-29,-0.20814792120973366
2024-12-30,-0.20351202789015868
2024-12-31,-0.2081678958217869
2025-01-01,-0.20543272647499694
2025-01-02,-0.18089257456018795
2025-01-03,-0.18570504330341597
2025-01-04,-0.17417571934668194
2025-01-05,-0.18546901107963865
2025-01-06,-0.16913978887402367
2025-01-07,-0.18236226458979868
2025-01-08,-0.19212089494749626
2025-01-09,-0.20350591431852302
2025-01-10,-0.20811173236366207
2025-01-11,-0.2034758390440871
2025-01-12,-0.20813170697571529
2025-01-13,-0.20539653762892535
2025-01-14,-0.18085638571411636
2025-01-15,-0.18566885445734435
2025-01-16,-0.17413953050061035
2025-01-17,-0.18543282223356705
2025-01-18,-0.16910360002795208
2025-01-19,-0.18232607574372708
2025-01-20,-0.19208470610142467
2025-01-21,-0.20346972547245143
2025-01-22,-0.20807554351759047
2025-01-23,-0.2034396501980155
2025-01-24,-0.2080955181296437
2025-01-25,-0.20536034878285375
2025-01-26,-0.18082019686804474
2025-01-27,-0.18563266561127276
2025-01-28,-0.17410334165453875
2025-01-29,-0.18539663338749543
2025-01-30,-0.16906741118188048
2025-01-31,-0.1822898868976555
2025-02-01,-0.19204851725535305
2025-02-02,-0.20343353662637984
2025-02-03,-0.20803935467151888
2025-02-04,-0.20340346135194387
2025-02-05,-0.2080593292835721
2025-02-06,-0.20532415993678216
2025-02-07,-0.18078400802197314
2025-02-08,-0.18559647676520116
2025-02-09,-0.17406715280846716
2025-02-10,-0.18536044454142384
2025-02-11,-0.1690312223358089
2025-02-12,-0.18225369805158387
2025-02-13,-0.19201232840928145
2025-02-14,-0.20339734778030824
2025-02-15,-0.20800316582544726
2025-02-16,-0.20336727250587228
2025-02-17,-0.2080231404375005
2025-02-18,-0.20528797109071054
2025-02-19,-0.18074781917590155
2025-02-20,-0.18556028791912957
2025-02-21,-0.17403096396239554
2025-02-22,-0.18532425569535224
2025-02-23,-0.1689950334897373
2025-02-24,-0.18221750920551227
2025-02-25,-0.19197613956320986
2025-02-26,-0.20336115893423665
2025-02-27,-0.20796697697937566
2025-02-28,-0.20333108365980068
2025-03-01,-0.2079869515914289
2025-03-02,-0.20525178224463894
2025-03-03,-0.18071163032982995
2025-03-04,-0.18552409907305795
2025-03-05,-0.17399477511632394
2025-03-06,-0.18528806684928065
2025-03-07,-0.16895884464366567
2025-03-08,-0.18218132035944068
2025-03-09,-0.19193995071713826
2025-03-10,-0.20332497008816502
2025-03-11,-0.20793078813330407
2025-03-12,-0.2032948948137291
2025-03-13,-0.2079507627453573
2025-03-14,-0.20521559339856735
2025-03-15,-0.18067544148375836
2025-03-16,-0.18548791022698635
2025-03-17,-0.17395858627025235
2025-03-18,-0.18525187800320905
2025-03-19,-0.16892265579759408
2025-03-20,-0.18214513151336909
2025-03-21,-0.19190376187106664
2025-03-22,-0.20328878124209343
2025-03-23,-0.20789459928723247
2025-03-24,-0.20325870596765747
2025-03-25,-0.2079145738992857
2025-03-26,-0.20517940455249575
2025-03-27,-0.18063925263768674
2025-03-28,-0.18545172138091476
2025-03-29,-0.17392239742418075
2025-03-30,-0.18521568915713743
2025-03-31,-0.16888646695152248
2025-04-01,-0.1821089426672975
2025-04-02,-0.19186757302499505
2025-04-03,-0.20325259239602184
2025-04-04,-0.20785841044116088
2025-04-05,-0.20322251712158587
2025-04-06,-0.2078783850532141
2025-04-07,-0.20514321570642416
2025-04-08,-0.18060306379161514
2025-04-09,-0.18541553253484316
2025-04-10,-0.17388620857810913
2025-04-11,-0.18517950031106584
2025-04-12,-0.1688502781054509
2025-04-13,-0.18207275382122587
